date,capital,position,price,total_value,daily_return,cummax,drawdown
2022-02-10,111941.022392,0,4.63,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-11,111941.022392,0,4.6,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-14,111941.022392,0,4.55,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-15,111941.022392,0,4.59,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-16,111941.022392,0,4.61,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-17,111941.022392,0,4.62,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-18,111941.022392,0,4.64,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-21,111941.022392,0,4.63,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-22,111941.022392,0,4.57,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-23,111941.022392,0,4.62,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-24,111941.022392,0,4.53,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-25,111941.022392,0,4.57,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-28,111941.022392,0,4.57,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-01,111941.022392,0,4.61,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-02,111941.022392,0,4.57,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-03,111941.022392,0,4.55,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-04,111941.022392,0,4.49,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-07,111941.022392,0,4.35,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-08,111941.022392,0,4.26,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-09,111941.022392,0,4.22,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-10,111941.022392,0,4.28,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-11,111941.022392,0,4.31,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-14,111941.022392,0,4.17,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-15,111941.022392,0,3.97,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-16,111941.022392,0,4.15,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-17,111941.022392,0,4.23,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-18,111941.022392,0,4.26,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-21,111941.022392,0,4.25,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-22,111941.022392,0,4.25,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-23,111941.022392,0,4.27,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-24,111941.022392,0,4.25,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-25,111941.022392,0,4.17,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-28,111941.022392,0,4.14,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-29,111941.022392,0,4.13,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-30,111941.022392,0,4.25,111941.022392,0.0,130968.865084,-14.528523767687872
2022-03-31,111941.022392,0,4.22,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-01,111941.022392,0,4.27,111941.022392,0.0,130968.865084,-14.528523767687872
2022-04-06,111941.022392,0,4.26,111941.022392,0.0,130968.865084,-14.528523767687872
